Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,
scrnaSeq,"Single cell sequencing examines the sequence information from individual cells with optimized next generation sequencing (NGS) technologies, providing a higher resolution of cellular differences and a better understanding of the function of an individual cell in the context of its microenvironment.",,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007832,
spontaneous alternation,The spontaneous alternation protocol is used to assess spatial working memory in mice.,,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45,
wheel running,"Wheel running behavior in mice is a simple, easily quantifiable measure of behavior that can be assessed in the home cage and with little interruption.  Mice demonstrate age-dependent reductions in both distance and speed, and also time spent running, which may be an indicator of motivation.",,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45,
frailty assessment,A non-invasive characterization of aging-related changes in physical characteristics and reflexes aimed at assessing the onset of aging traits in individual mice.,,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45,
cresyl violet stain,"staining with cresyl violet, a stain that is commonly used to identify the neuronal structure in brain and spinal cord tissue",,,,FALSE,assay,,https://theolb.readthedocs.io/en/latest/histology/cresyl-violet-staining-nissl-staining.html,
assay,The technology used to generate the data in this file,"HPLC, photograph, Zeno Electronic Walkway, elevated T maze apparatus method, von Frey test, FitBark, elevated plus maze test, open field test, rotarod performance test, mRNAcounts, high content screen, Immunocytochemistry, immunofluorescence, autoradiography, electrochemiluminescence, Real Time PCR, Vernier Caliper, scale, Blood Chemistry Measurement, in vivo bioluminescence, immunohistochemistry, NOMe-Seq, FIA-MSMS, UPLC-MSMS, HPLC-MSMS, liquid chromatography-electrochemical detection, rnaSeq, mirnaSeq, LC-MSMS, LC-MS, lncrnaSeq, exomeSeq, Sanger sequencing, ChIPSeq, rnaArray, snpArray, methylationArray, mirnaArray, bisulfiteSeq, ATACSeq, HI-C, errBisulfiteSeq, ISOSeq, MRI, westernBlot, wholeGenomeSeq, polymeraseChainReaction, cellViabilityAssay, atomicForceMicroscopy, brightfieldMicroscopy, tractionForceMicroscopy, nextGenerationTargetedSequencing, jumpingLibrary, MIB/MS, scCGIseq, MudPIT, questionnaire, DNA optical mapping, novelty response behavior, active avoidance learning behavior, contextual conditioning behavior, anxiety-related behavior, memory behavior, kinesthetic behavior, locomotor activation behavior, oxBS-Seq, Ribo-Seq, Positron Emission Tomography, RPPA, ELISA, LTP, LFP, whole-cell patch clamp, sandwich ELISA, Laser Speckle Imaging, Genotyping, TMT quantitation, label free mass spectrometry, scrnaSeq, spontaneous alternation, wheel running, frailty assessment, cresyl violet stain",,,TRUE,experimentalData,,,
direct,Type of ELISA assay where an enzyme-labeled antibody or antigen reacts with an immobilized primary antibody or antigen,,,,FALSE,elisaType,,https://doi.org/10.1007/s11418-017-1144-z,
indirect,Type of ELISA assay where an antibody or antigen reacts with an enzyme-labeled secondary antibody or antigen,,,,FALSE,elisaType,,https://doi.org/10.1007/s11418-017-1144-z,
sandwich,Type of ELISA assay where an antibody or antigen is anchored between a primary and secondary antibody or antigen,,,,FALSE,elisaType,,https://doi.org/10.1007/s11418-017-1144-z,
elisaType,Specific type of ELISA assay,"direct, indirect, sandwich",,,TRUE,experimentalData,,,
H3K9me3,,,,,FALSE,assayTarget,,,
H3K4me3,,,,,FALSE,assayTarget,,,
H3K4me1,,,,,FALSE,assayTarget,,,
H3K27ac,,,,,FALSE,assayTarget,,,
H3K36me3,,,,,FALSE,assayTarget,,,
H3K27me3,,,,,FALSE,assayTarget,,,
H3K9ac,,,,,FALSE,assayTarget,,,
REST,,,,,FALSE,assayTarget,,,
CTCF,,,,,FALSE,assayTarget,,,
input,,,,,FALSE,assayTarget,,,
assayTarget,,"H3K9me3, H3K4me3, H3K4me1, H3K27ac, H3K36me3, H3K27me3, H3K9ac, REST, CTCF, input",,,TRUE,experimentalData,,,
normalized,A data set that is produced as the output of a normalization data transformation.,,,,FALSE,dataSubtype,,http://purl.obolibrary.org/obo/OBI_0000451,
dataMatrix,A file of data containing multiple values for multiple samples.,,,,FALSE,dataSubtype,,,
raw,"A data file produced by an instrument, or one with very little subsequent processing.",,,,FALSE,dataSubtype,,,
processed,A file of data generated from running one or more bioinformatics methods on a raw file.,,,,FALSE,dataSubtype,,,
metadata,"A file of clinical, technical, or other parameters that describe a dataset.",,,,FALSE,dataSubtype,,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, dataMatrix, raw, processed, metadata",,,TRUE,experimentalData,,,
individual,Metadata describing properties of individuals (human or animal) represented in the study.,,,,FALSE,metadataType,,Sage Bionetworks,
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.,,,,FALSE,metadataType,,Sage Bionetworks,
assay,Metadata describing properites of an assay conducted in the study.,,,,FALSE,metadataType,,Sage Bionetworks,
data dictionary,Metadata describing terms or variables that appear in another file.,,,,FALSE,metadataType,,Sage Bionetworks,
manifest,Metadata describing a list of files and the annotations terms associated with them.,,,,FALSE,metadataType,,Sage Bionetworks,
protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.",,,,FALSE,metadataType,,http://purl.obolibrary.org/obo/OBI_0000272,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","individual, biospecimen, assay, data dictionary, manifest, protocol",,,TRUE,experimentalData,,,
head,The head is the anterior-most division of the body.,,,,FALSE,bodyPart,,http://purl.obolibrary.org/obo/UBERON_0000033,
bodyPart,Named areas of the body.,head,,,TRUE,experimentalData,,,
lymph node,A bean-shaped organ surrounded by a connective tissue capsule.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/NCIT_C12745,
kidney,One of the two bean-shaped organs located on each side of the spine in the retroperitoneum.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/NCIT_C12415,
skin,The integument of an animal (as a fur-bearing mammal or a bird) separated from the body usually with its hair or feathers.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0001253,
mammary gland,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/UBERON_0001911,
nerves,"Any of the filamentous bands of nervous tissue that connect parts of the nervous system with the other organs, conduct nervous impulses, and are made up of axons and dendrites together with protective and supportive structures.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000925,
brain,The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000142,
blood,"The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000089,
breast,The fore or ventral part of the body between the neck and the abdomen.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000149,
colon,The part of the large intestine that extends from the cecum to the rectum.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000269,
lung,One of the usually paired compound saccular thoracic organs that constitute the basic respiratory organ of air-breathing vertebrates.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000763,
prostate,Lobular organ the parenchyma of which has as its parts glandular acini which are continuous with the prostatic part of the urethra.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/FMA_9600,
pancreas,A large lobulated gland of vertebrates that secretes digestive enzymes and the hormones insulin and glucagon.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000988,
ovary,One of the typically paired essential female reproductive organs that produce eggs and in vertebrates female sex hormones.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000975,
spleen,"A highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0001281,
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000141,
Bursa Of Fabricius,"An epithelial outgrowth of lymphoid tissue in the cloaca of young birds, responsible for B-lymphocyte maturation. It undergoes atrophy and involution at six months of age.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/NCIT_C111141,
nose,A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.,,,,FALSE,organ,,http://purl.obolibrary.org/obo/NCIT_C12756,
cerebrospinal fluid,"The serumlike fluid that circulates through the ventricles of the brain, the cavity of the spinal cord, and the subarachnoid space, functioning in shock absorption. A liquid that is comparable to serum but contains less dissolved material, that is secreted from the blood into the lateral ventricles of the brain by the choroid plexus, circulates through the ventricles to the spaces between the meninges about the brain and spinal cord, and is resorbed into the blood through the subarachnoid sinuses, and that serves chiefly to maintain uniform pressure within the brain and spinal cord.",,,,FALSE,organ,,http://purl.obolibrary.org/obo/BTO_0000237,
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"lymph node, kidney, skin, mammary gland, nerves, brain, blood, breast, colon, lung, prostate, pancreas, ovary, spleen, bone marrow, Bursa Of Fabricius, nose, cerebrospinal fluid",,,TRUE,experimentalData,,,
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C25335,
Weight,The vertical force exerted by a mass as a result of gravity.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C25208,
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.",,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C49663,
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.",,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NBO_0000313,
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.",,,,FALSE,dataType,,http://edamontology.org/topic_3172,
image,Biological or biomedical data that has been rendered into an image.,,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,,,,FALSE,dataType,,https://en.wikipedia.org/wiki/Protein_isoform,
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",,,,FALSE,dataType,,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,,,,FALSE,dataType,,http://www.kinomecore.com/what-is-kinomics/,
drugScreen,Information on drug sensitivity and molecular markers of drug response,,,,FALSE,dataType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,
drugCombinationScreen,Information on drug sensitivity of more than one compound,,,,FALSE,dataType,,https://www.ncbi.nlm.nih.gov/pubmed/29344898,
cellularPhysiology,,,,,FALSE,dataType,,,
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,,,,FALSE,dataType,,https://en.wikipedia.org/wiki/Chromatin_remodeling,
surveyData,A data set that contains the outcome of a survey.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/OMIABIS_0000060,
network,An interconnected system of things or people.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C61377,
clinical,Data obtained through patient examination or treatment.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C15783,
immunoassay,Laboratory test involving interaction of antigens with specific antibodies.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/NCIT_C16723,
electrophysiology,Data generated from an electrophysiology assay.,,,,FALSE,dataType,,http://purl.obolibrary.org/obo/ERO_0000564,
dataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology",,,TRUE,experimentalData,,,
NIMH-HBCC,The NIH Human Brain Collection Core,,,,FALSE,individualIdSource,,https://www.nimh.nih.gov/labs-at-nimh/research-areas/research-support-services/hbcc/human-brain-collection-core-hbcc.shtml,
MSSM,Mount Sinai NIH Brain and Tissue Repository,,,,FALSE,individualIdSource,,http://icahn.mssm.edu/research/labs/neuropathology-and-brain-banking,
Penn,"The University of Pennsylvania Alzheimer's Disease Core Center (ADCC), Penn Udall Center and the Center for Neurodegenerative Disease Research (CNDR)",,,,FALSE,individualIdSource,,http://www.med.upenn.edu/cndr/biosamples-brainbank.html,
Pitt,The University of Pittsburgh NIH NeuroBioBank Brain and Tissue Repository,,,,FALSE,individualIdSource,,https://neurobiobank.nih.gov/,
Rush,Rush Alzheimer's Disease Center,,,,FALSE,individualIdSource,,https://www.radc.rush.edu/,
JAX,The Jackson Laboratory,,,,FALSE,individualIdSource,,https://www.jax.org,
UCSF,University of California - San Francisco,,,,FALSE,individualIdSource,,https://www.ucsf.edu/,
Emory,Emory University,,,,FALSE,individualIdSource,,https://www.emory.edu/,
