Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
GSNAP,Method to detect complex variants and splicing in short read sequencing.,,,,FALSE,alignmentMethod,,https://academic.oup.com/bioinformatics/article/26/7/873/212606
MOSAIC,Segmentation alignment method for DNA alignment.,,,,FALSE,alignmentMethod,,https://www.ncbi.nlm.nih.gov/pubmed/11238079
NovoAlign,Short read sequencing alignment method.,,,,FALSE,alignmentMethod,,http://www.novocraft.com/products/novoalign/
OLego,Alignment method to detect de novo mapping of spliced mRNA-Seq reads.,,,,FALSE,alignmentMethod,,https://www.ncbi.nlm.nih.gov/pubmed/23571760
SNAPR,A pipeline for short read alignment and downstream analyses.,,,,FALSE,alignmentMethod,,https://www.ncbi.nlm.nih.gov/pubmed/29270443
STAR,Software based on a previously undescribed RNA-seq alignment algorithm that uses sequential maximum mappable seed search in uncompressed suffix arrays followed by seed clustering and stitching procedure.,,,,FALSE,alignmentMethod,,https://academic.oup.com/bioinformatics/article/29/1/15/272537
TopHat,Method to align short read sequencing for outputs such as splice junction detection.,,,,FALSE,alignmentMethod,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2672628/
analysisType,,"ANOVA, assessment, batch effect correction, Clustering, comparison, Copy number estimation, correlation, covariate specification, data normalization, de-novo assembly, differential expression, differential network analysis, DNA methylation imputation, dose response study, Enrichment analysis, expression quantitative trait loci detection, Gene expression comparison, Genome-Wide Association, genotypeAncestry, genotype imputation, hidden confounder detection, methylation quantitative trait loci detection, network analysis, network driver detection, outlier detection, peak calling, Polygenic Risk Scores, principal component analysis, purity, quality control, search engine output files, Sequence alignment, somatic mutation calling, statistical network reconstruction, Supervised Machine Learning, transcript quantification, variancePartition, Variant calling, visualization",,,FALSE,PsychENCODE,,
ANOVA,ANOVA or analysis of variance is a data transformation in which a statistical test of whether the means of several groups are all equal.,,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/OBI_0200201
assessment,"The final result of a determination of the value, significance, or extent of.",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/NCIT_C25217
batch effect correction,Adjustment of variable of interest for batch effects.,,,,FALSE,analysisType,,https://www.ncbi.nlm.nih.gov/pubmed/16632515
Clustering,Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters).,,,,FALSE,analysisType,,http://edamontology.org/operation_3432
comparison,The examination of two or more people or things in order to detect similarities and differences.,,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/NCIT_C49156
Copy number estimation,Estimate the number of copies of loci of particular gene(s) in DNA sequences typically from gene-expression profiling technology based on microarray hybridisation-based experiments.,,,,FALSE,analysisType,,http://edamontology.org/operation_3233
correlation,"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others.",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/NCIT_C48834
covariate specification,"A variable specification that specifies a variable used in statistical analysis to correct, adjust, or modify the values of a dependent variable; an independent variable not manipulated by the investigator",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/OBCS_0000040
data normalization,a data transformation objective where the aim is to remove systematic sources of variation to put the data on equal footing in order to create a common base for comparisons,,,,,,,https://www.ebi.ac.uk/ols/ontologies/swo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fswo%2Fobjective%2FSWO_7000015
de-novo assembly,Assembly of reference sequence from short read sequences without external reference genome build.,,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/GENEPIO_0001628
differential expression,Genes or isoforms that are differentially expressed between two conditions.,,,,FALSE,analysisType,,http://uri.neuinfo.org/nif/nifstd/nlx_qual_100810
differential network anaysis,Identification of changes in coexpression patterns between two conditions.,,,,FALSE,analysisType,,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1000616
DNA methylation imputation,The statistical inference of unobserved DNA methylation marks.,,,,FALSE,analysisType,,https://dx.doi.org/10.1534/genetics.115.185967
dose response study,A study of the effect of dose changes on the efficacy of a drug in order to determine the dose-response relationship and optimal dose of a therapy.,,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/NCIT_C127803
Enrichment analysis,Over-representation analysis.,,,,FALSE,analysisType,,http://edamontology.org/operation_3501
expression quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate the expression of a specific mRNA or protein.,,,,FALSE,analysisType,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113415
Gene expression comparison,Comparison of gene expression profiles.,,,,FALSE,analysisType,,http://edamontology.org/operation_0315
Genome-Wide Association,"An analysis comparing the allele frequencies of all available (or a whole GENOME representative set of) polymorphic markers in unrelated patients with a specific symptom or disease condition, and those of healthy controls to identify markers associated with a specific disease or condition.",,,,FALSE,analysisType,,http://purl.bioontology.org/ontology/MESH/D055106
genotypeAncestry,model genetic ancestry from SNP data,,,,FALSE,analysisType,,http://www.compgen.pitt.edu/GemTools/GemTools.htm
genotype imputation,The statistical inference of unobserved genotypes.,,,,FALSE,analysisType,,https://www.ncbi.nlm.nih.gov/pubmed/17572673
hidden confounder detection,Identification of a hidden or latent variable that may be inflating the type I error rate due to mutual correlation between dependent and independent variable that are being tested.,,,,FALSE,analysisType,,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.0030161
methylation quantitative trait loci detection,A stretch of DNA at a particular chromosomal location that is able to regulate the methylation of DNA.,,,,FALSE,analysisType,,
network analysis,"A data transformation that takes as input data that describes biological networks in terms of the node (a.k.a. vertex) and edge graph elements and their characteristics and generates as output properties of the constituent nodes and edges, the sub-graphs, and the entire network.",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/OBI_0200080
network driver detection,Identification of drivers of disease based on network analyses.,,,,FALSE,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4194029/
outlier detection,An observation in a data set that is numerically distant from the rest of the data.,,,,FALSE,analysisType,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79083
peak calling,"An inferential statistical data analysis to identify protein-binding regions in a genome sequence from the data generated from a ChIP-sequencing or ChIP-chip experiment. When the protein is a transcription factor, the region is a transcription factor binding site (TFBS).",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/OBCS_0000167
Polygenic Risk Scores,A sample level estimate of the genetic component of disease risk based on genome-wide association studies.,,,,FALSE,analysisType,,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003348
principal component analysis,Principal Component Analysis: Mathematical procedure that transforms a number of possibly correlated variables into a smaller number of uncorrelated variables called principal components.,,,,FALSE,analysisType,,http://purl.bioontology.org/ontology/MESH/D025341
purity,"A quantitative assessment of the homogeneity or uniformity of a mixture. Alternatively, purity refers to the degree of being free of contaminants or heterogeneous components",,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/NCIT_C62352
quality control,A technique used to ensure a certain level of quality in a product or service.,,,,FALSE,analysisType,,http://purl.obolibrary.org/obo/ERO_0001219
search engine output files,These files contain the data and metadata generated by the software (called search engines) used for performing the identification and quantification of peptides and proteins.,,,,FALSE,analysisType,,https://web.archive.org/web/20191213022828/https://www.ebi.ac.uk/training/online/course/proteomexchange-submissions-pride/how-submit-data-proteomexchange-pride/proteomics-data-forma
Sequence alignment,Alignment of reads to a reference genome,,,,FALSE,analysisType,,http://edamontology.org/operation_0292
somatic mutation calling,Identification of de-novo mutations in somatic cells.,,,,FALSE,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803342/
statistical network reconstruction,Learning network relationships between genes based on their coexpression patterns.,,,,FALSE,analysisType,,http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#Signaling_Network_Reconstruction
Supervised Machine Learning,A machine learning paradigm used to make predictions about future instances based on a given set of labeled paired input-output training (sample) data.,,,,FALSE,analysisType,,http://purl.bioontology.org/ontology/MESH/D000069553
transcript quantification,Quantification of the abundunce of specific gene expression transcript isoforms.,,,,FALSE,analysisType,,https://www.nature.com/articles/nbt.3519
variancePartition,Identification of percentage variance explained of a dependent variable by multiple classes of independent variables.,,,,FALSE,analysisType,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5123296/
Variant calling,"Identify and map genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",,,,FALSE,analysisType,,http://edamontology.org/operation_3227
visualization,"Resource that provides access to tools for graphical, interactive, multimodal and multidimensional data and result visualization.",,,,FALSE,analysisType,,http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#Visualization
antibody,An immunoglobulin complex that is secreted into extracellular space and found in mucosal areas or other tissues or circulating in the blood or lymph,,,,FALSE,PsychENCODE,,
antibodyAmount,Amount of antibody used for an assay,,,,FALSE,PsychENCODE,,
arrayBatch,Genotyping batch,,,,FALSE,PsychENCODE,,
assay,The technology used to generate the data in this file,"active avoidance learning behavior, anxiety-related behavior, ATACSeq, atomicForceMicroscopy, autoradiography, bisulfiteSeq, Blood Chemistry Measurement, brightfieldMicroscopy, cellViabilityAssay, ChIPSeq, contextual conditioning behavior, DNA optical mapping, electrochemiluminescence, elevated plus maze test, elevated T maze apparatus method, ELISA, errBisulfiteSeq, exomeSeq, FIA-MSMS, FitBark, frailty assessment, Genotyping, HI-C, high content screen, HPLC, HPLC-MSMS, Immunocytochemistry, immunofluorescence, immunohistochemistry, in vivo bioluminescence, ISOSeq, jumpingLibrary, kinesthetic behavior, label free mass spectrometry, Laser Speckle Imaging, LC-MS, LC-MSMS, LFP, liquid chromatography-electrochemical detection, lncrnaSeq, locomotor activation behavior, LTP, memory behavior, methylationArray, MIB/MS, mirnaArray, mirnaSeq, MRI, mRNAcounts, MudPIT, nextGenerationTargetedSequencing, NOMe-Seq, novelty response behavior, open field test, oxBS-Seq, photograph, polymeraseChainReaction, Positron Emission Tomography, questionnaire, Real Time PCR, Ribo-Seq, rnaArray, rnaSeq, rotarod performance test, RPPA, sandwich ELISA, Sanger sequencing, scale, scCGIseq, scrnaSeq, snpArray, spontaneous alternation, TMT quantitation, tractionForceMicroscopy, UPLC-MSMS, Vernier Caliper, von Frey test, westernBlot, wheel running, whole-cell patch clamp, wholeGenomeSeq, Zeno Electronic Walkway",,,FALSE,PsychENCODE,,
active avoidance learning behavior,Avoidance learning when the action occurs.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000217
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000092
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002039
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000113
autoradiography, A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000716
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0000748
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C47868
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000104
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,,,,FALSE,assay,,http://www.bioassayontology.org/bao#BAO_0003009
ChIPSeq,Chromatin immuno-precipitation followed by sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0000716
contextual conditioning behavior,,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000223
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules,,,,FALSE,assay,,https://doi.org/10.1016/j.copbio.2013.01.009
electrochemiluminescence,"A method in which electromagnetic radiation, in the form of light emission, is generated from an electrochemical reaction in a solution.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C111193
elevated plus maze test,"A method which utilizes an experimental apparatus consisting of four arms, usually two enclosed and two open, in the shape of a plus (+) upon which the test animal can walk. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000262
elevated T maze apparatus method,"A method which utilizes an experimental apparatus consisting of three arms all or any of which may or may not be enclosed, in the shape of a T upon which the test animal can walk. The maze may include doors which can be used to close off any of the arms of the maze. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000267
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C16553
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,,,FALSE,assay,,
exomeSeq,Data derived from exome sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002118
FIA-MSMS,Flow injection analysis - tandem mass spectrometer,,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pubmed/28667829
FitBark,health and location tracker,,,,FALSE,assay,,https://www.fitbark.com/
frailty assessment,A non-invasive characterization of aging-related changes in physical characteristics and reflexes aimed at assessing the onset of aging traits in individual mice.,,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45
Genotyping,The determination of the DNA sequence of an individual.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C45447
HI-C,Chromatin interactions detected by HI-C protocol,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007693
high content screen,An image analysis technique combining automated fluorescence microscopy with multi-parameter quantitative image analysis for the large scale study of cells (cellomics).,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007550
HPLC,"Frequently referred to simply as HPLC, this form of column chromatography is used frequently in biochemistry. The analyte is forced through a column by liquid at high pressure, which decreases the time the separated components remain on the stationary phase.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C16434
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C120691
Immunocytochemistry,The branch of immunochemistry dealing with cells and cellular activity; the application of immunochemical techniques to cytochemistry.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17731
immunofluorescence,An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17370
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001986
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000651
ISOSeq,Full isoform sequencing,,,,FALSE,assay,,
jumpingLibrary,,,,,FALSE,assay,,
kinesthetic behavior,Movement behavior of the body or its parts.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000338
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0000708
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C116492
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000524
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series,,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0000701
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002189
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/CHMO_0001746
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,,FALSE,assay,,
locomotor activation behavior,Activation of locomotory behavior.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000447
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/VT_0002207
memory behavior,"Behavior related with the ability of an organism's ability to store, retain, and recall information and experiences.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000170
methylationArray,Methylation data captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001332
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/
mirnaArray,microRNA measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001335
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002112
MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.",,,,FALSE,assay,,http://edamontology.org/topic_3444
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.,,,,FALSE,assay,,Sage Bionetworks
MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MI_0658
nextGenerationTargetedSequencing,A type of next generation sequencing in which specific genes or portions of genes are targeted for sequencing using amplicon-based workflow.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C130177
NOMe-Seq,Nucleosome Occupancy and Methylome Sequencing,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C106053
novelty response behavior,"Behavior related to the exploration/investigation of a novel object, situation or environment.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NBO_0000086
open field test,"A test utilizing an enclosure consisting of a single area bordered by clear or opaque walls, used to measure movement, exploratory behavior, etc of an experimental subject.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000258
oxBS-Seq,Oxidative bisulfite sequencing (oxBS-Seq) to map 5-methylcytosine and 5-hydroxymethylcytosine,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0008840
photograph,An image recorded by a camera.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C86035
polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000459
Positron Emission Tomography,A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C17007
questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001000
Real Time PCR,An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C51962
Ribo-Seq,Ribosome profiling (Ribo-Seq).,,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0008891
rnaArray,RNA measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001463
rnaSeq,RNA Sequencing measurements,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001271
rotarod performance test,"A method that utilizes a device consisting of a rotating rod the speed of which is mechanically driven and precisely controlled, for instance held constant or accelerated. The rotarod test is often used to measure riding time or endurance in order to evaluate balance, motor coordination or grip strength.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000567
RPPA,Reverse phase protein array (RPPA) is a an assay that measures multiple protein expression levels in a large number of biological samples simultaneously using high quality antibodies,,,,FALSE,assay,,http://www.bioassayontology.org/bao#BAO_0010030
sandwich ELISA,"The sandwich ELISA measures the amount of antigen between two layers of antibodies. The antigens to be measured must contain at least two antigenic sites, capable of binding to antibody, since at least two antibodies act in the sandwich. So sandwich assays are restricted to the quantitation of multivalent antigens such as proteins or polysaccharides. Sandwich ELISAs for quantitation of antigens are especially valuable when the concentration of antigens is low and/or they are contained in high concentrations of contaminating protein.",,,,FALSE,assay,,https://www.ebi.ac.uk/ols/ontologies/bao/terms?iri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0002421
Sanger sequencing,"A DNA sequencing technique in which a mixture of deoxynucleosidetriphosphates (dNTPs) and chain-terminating dNTPs, which are radioactively or fluorescently labeled, are combined within the reaction mixture. Once the reaction is complete, the DNA strands are separated by size, and the labeled chain terminating dNTPs can be read in sequence by the investigator or by a machine.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C19641
scale,An instrument or machine for weighing.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000217
scCGIseq,"A method for genome-wide CpG island (CGI) methylation sequencing for single cells (scCGI-seq), combining methylation-sensitive restriction enzyme digestion and multiple displacement amplification for selective detection of methylated CGIs",,,,FALSE,assay,,https://www.ncbi.nlm.nih.gov/pubmed/28126923
scrnaSeq,"Single cell sequencing examines the sequence information from individual cells with optimized next generation sequencing (NGS) technologies, providing a higher resolution of cellular differences and a better understanding of the function of an individual cell in the context of its microenvironment.",,,,FALSE,assay,,http://www.ebi.ac.uk/efo/EFO_0007832
snpArray,SNP measurements captured by array technology,,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0001204
spontaneous alternation,The spontaneous alternation protocol is used to assess spatial working memory in mice.,,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45
TMT quantitation,"An isobaric labeling technique that uses tags containing four regions with the same total molecular weights and structure, so that during chromatographic or electrophoretic separation and in single MS mode, molecules labelled with different tags are indistinguishable.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/ERO_0002175
tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM),,,,FALSE,assay,,https://en.wikipedia.org/wiki/Traction_force_microscopy
UPLC-MSMS,Ultra performance liquid chromatography - tandem mass spectrometer.,,,,FALSE,assay,,https://www.wur.nl/en/show/Ultra-performance-liquid-chromatography-tandem-mass-spectrometer-UPLCMSMS.htm
Vernier Caliper,A medical device that is a combination of ruler and caliper that can measure the distance between two points. The configuration of this device permits the measurement of internal dimensions.,,,,FALSE,assay,,http://purl.obolibrary.org/obo/NCIT_C81184
von Frey test,assessment of mechanical nociception,,,,FALSE,assay,,https://en.wikipedia.org/wiki/Nociception_assay#Von_Frey
westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis,,,,FALSE,assay,,http://purl.obolibrary.org/obo/MMO_0000338
wheel running,"Wheel running behavior in mice is a simple, easily quantifiable measure of behavior that can be assessed in the home cage and with little interruption.  Mice demonstrate age-dependent reductions in both distance and speed, and also time spent running, which may be an indicator of motivation.",,,,FALSE,assay,,https://doi.org/10.1002/cpmo.45
whole-cell patch clamp,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",,,,FALSE,assay,,http://purl.obolibrary.org/obo/OBI_0002178
wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time,,,,FALSE,assay,,http://edamontology.org/topic_3673
Zeno Electronic Walkway,The Zeno walkway utilizes an advanced and patented electronic sensing array technology with a proprietary network interface to sense and deliver the position of two dimensional objects in contact with its surface.,,,,FALSE,assay,,http://www.zenometrics.com/zenowalkway.html
assayTarget,,"CTCF, H3K27ac, H3K27me3, H3K36me3, H3K4me1, H3K4me3, H3K9ac, H3K9me3, input, REST",,,FALSE,PsychENCODE,,
CTCF,,,,,FALSE,assayTarget,,
H3K27ac,,,,,FALSE,assayTarget,,
H3K27me3,,,,,FALSE,assayTarget,,
H3K36me3,,,,,FALSE,assayTarget,,
H3K4me1,,,,,FALSE,assayTarget,,
H3K4me3,,,,,FALSE,assayTarget,,
H3K9ac,,,,,FALSE,assayTarget,,
